fips,name,population,population18To34,population18To34_me,population18To34_p,population18To34_pme,white,white_me,white_p,white_pme,minority,minority_me,minority_p,minority_pme,neverMarried,neverMarried_me,neverMarried_p,neverMarried_pme,liveAlone,liveAlone_me,liveAlone_p,liveAlone_pme,educationBachelor,educationBachelor_me,educationBachelor_p,educationBachelor_pme,civilian,veteran,veteran_me,veteran_p,veteran_pme,foreignBorn,foreignBorn_me,foreignBorn_p,foreignBorn_pme,otherLanguage,otherLanguage_me,otherLanguage_p,otherLanguage_pme,medianEarnings,medianEarnings_me,povertyUniverse,poverty,poverty_me,poverty_p,poverty_pme,employed,employed_me,employed_p,employed_pme,commuter,droveToWork,droveToWork_me,droveToWork_p,droveToWork_pme,liveWithParent,liveWithParent_me,liveWithParent_p,liveWithParent_pme
44300,"State College, PA",154460,62620,166,40.541,0.10747,50920,166,81.32,0.34,11700,236,18.68,0.34,51490,631,82.23,1.01,5280,563,8.43,0.9,13830,733,22.09,1.16,62480,735,170,1.18,0.27,6690,526,10.68,0.85,7835,510,12.51,0.82,30506,,47870,20320,1053,42.45,2.1,30935,1106,49.4,1.72,30080,20560,877,68.35,1.97,6900,606,11.02,0.97
44340,"Statesboro, GA",71190,28645,147,40.237,0.20649,17935,82,62.61,0.42,10710,164,37.39,0.42,22405,532,78.22,1.82,1755,335,6.13,1.16,4140,459,14.45,1.59,28560,500,196,1.75,0.69,1335,273,4.66,0.95,1490,252,5.2,0.87,28867,,24040,12630,916,52.54,2.99,14535,661,50.74,2.27,14255,12600,737,88.39,2.47,3475,531,12.13,1.86
44420,"Staunton-Waynesboro, VA",118814,23695,304,19.943,0.25586,19730,29,83.27,1.07,3970,305,16.75,1.07,14120,599,59.59,2.36,1520,293,6.41,1.22,3605,438,15.21,1.85,23525,535,173,2.27,0.74,905,235,3.82,0.99,1430,271,6.04,1.14,31819,,21375,3830,454,17.92,2.11,15725,542,66.36,2.11,15635,14130,628,90.37,1.59,7330,507,30.93,2.14
44460,"Steamboat Springs, CO",23409,5480,194,23.41,0.82874,4675,38,85.31,3.17,805,200,14.69,3.14,3835,355,69.98,5.06,405,151,7.39,2.77,1750,406,31.93,6.97,5480,15,23,0.27,0.41,255,161,4.65,2.86,435,201,7.94,3.51,35704,,5210,730,277,14.01,5.04,4570,238,83.39,2.97,4485,3440,435,76.7,8.07,930,249,16.97,4.61
44500,"Stephenville, TX",38744,12590,132,32.495,0.3407,9635,27,76.53,0.79,2960,132,23.51,0.8,8560,463,67.99,3.47,1145,250,9.09,1.99,1900,287,15.09,2.31,12585,290,119,2.3,0.95,1055,225,8.38,1.79,2250,272,17.87,2.18,24582,,11365,4105,557,36.12,4.87,8160,493,64.81,3.83,7935,7460,494,94.01,2.02,2115,399,16.8,3.16
44540,"Sterling, CO",22607,6150,170,27.204,0.75198,4245,201,69.02,3.85,1900,267,30.89,3.84,4180,311,67.97,4.77,450,155,7.32,2.56,360,117,5.85,1.91,6130,215,179,3.51,2.92,575,289,9.35,4.74,975,348,15.85,5.71,28352,,5470,1205,371,22.03,6.86,3785,363,61.54,6.03,3755,3190,374,84.95,6.66,2275,300,36.99,4.65
44580,"Sterling, IL",58150,10720,84,18.435,0.14445,8795,27,82.04,0.64,1925,84,17.96,0.64,6855,270,63.95,2.45,930,169,8.68,1.57,1445,246,13.48,2.27,10715,300,136,2.8,1.28,375,142,3.5,1.33,790,190,7.37,1.76,29704,,10560,1685,270,15.96,2.55,7450,315,69.5,2.89,7370,6850,323,92.94,1.58,3645,383,34,3.6
44620,"Stevens Point, WI",70136,20075,136,28.623,0.19391,18125,37,90.29,0.6,1950,131,9.71,0.59,14775,341,73.6,1.75,1710,241,8.52,1.2,3660,386,18.23,1.94,20045,385,113,1.92,0.57,750,191,3.74,0.95,1530,170,7.62,0.85,31377,,17085,5450,403,31.9,2.28,14140,439,70.44,2.07,13770,11370,461,82.57,1.93,3225,356,16.06,1.77
44660,"Stillwater, OK",77897,32135,117,41.253,0.1502,24185,52,75.26,0.31,7950,124,24.74,0.31,24325,555,75.7,1.69,3660,523,11.39,1.62,6150,511,19.14,1.59,32125,595,185,1.85,0.58,2660,268,8.28,0.83,3065,317,9.54,0.98,27609,,25245,11090,661,43.93,2.27,18735,637,58.3,1.98,18220,15110,663,82.93,2.08,2335,345,7.27,1.07
44700,"Stockton-Lodi, CA",693177,164650,76,23.753,0.01096,47550,57,28.88,0.04,117100,103,71.12,0.04,106010,1150,64.39,0.7,5320,507,3.23,0.31,17705,899,10.75,0.55,164565,2905,535,1.77,0.33,43120,1542,26.19,0.94,73790,1554,44.82,0.94,32892,,158325,32995,1620,20.84,1.03,96105,1481,58.37,0.9,92880,85270,1502,91.81,0.63,57960,1473,35.2,0.89
44740,"Storm Lake, IA",20350,4760,69,23.391,0.33907,2695,10,56.62,0.81,2065,67,43.38,0.8,2845,192,59.77,3.8,250,91,5.25,1.92,555,111,11.66,2.32,4755,70,50,1.47,1.05,1355,108,28.47,2.22,1850,72,38.87,1.45,28687,,3985,725,150,18.19,3.56,3725,160,78.26,3.07,3635,3115,195,85.69,3.28,930,206,19.54,4.32
44780,"Sturgis, MI",61111,12135,113,19.857,0.18491,10315,24,85,0.79,1820,113,15,0.8,6615,310,54.51,2.49,580,124,4.78,1.01,1295,185,10.67,1.52,12100,345,169,2.85,1.4,855,125,7.05,1.02,1705,167,14.05,1.33,31066,,11995,2815,338,23.47,2.79,7075,356,58.3,2.84,6985,6475,376,92.7,2.17,4320,321,35.6,2.64
